pattern,count,n
내 생각엔,50,2
내생각엔,50,2
여기 제,50,2
여기제,50,2
이분야에서,50,2
그럴수,50,2
저희회사에,50,2
그렇게할게요.,49,2
뭐 도와드릴까요?,49,2
뭐도와드릴까요?,49,2
그때보자.,49,2
그럼내가,48,2
어떤 문제가,48,2
어떤문제가,48,2
그 정도면,48,2
그정도면,48,2
이거정말,48,2
너무많아서,48,2
저녁먹고,48,2
그게더,47,2
나도그,46,2
그거진짜,46,2
그렇게하자.,46,2
그렇게 생각해.,45,2
"그래,그럼",45,2
나 지금,45,2
나지금,45,2
내가제일,45,2
그렇게생각,44,2
그런데제,44,2
그럼우리,44,2
그런 걸,44,2
이제어떻게,44,2
그녀는정말,44,2
그 다음에,43,2
그다음에,43,2
너무오래,43,2
어떻게 생각하세요?,43,2
어떻게생각하세요?,43,2
나 정말,43,2
나정말,43,2
그렇게하면,42,2
그런데제가,42,2
그거좀,42,2
당신은요?#Person1#:,41,2
우리 집,41,2
우리집,41,2
이런일이,41,2
그 후에,40,2
그후에,40,2
그렇군요.그럼,40,2
그럼지금,40,2
그거참,40,2
그런데지금,40,2
그렇지않으면,40,2
그거좋네요.,40,2
뭐가문제야?,40,2
이런거,40,2
너는뭐,39,2
그런데너,38,2
이 일을,38,2
이일을,38,2
그 다음엔,38,2
그다음엔,38,2
저기저,38,2
나중에다시,38,2
저도그렇게,38,2
그러고나서,38,2
그런다음,38,2
그럼왜,37,2
나쁘지않아.,37,2
얼마나걸릴까요?,37,2
이렇게하면,37,2
나 진짜,37,2
나진짜,37,2
그건너무,37,2
그 영화,36,2
그영화,36,2
그게제일,36,2
그 일을,36,2
그일을,36,2
이번학기에,36,2
그렇게말씀해,36,2
이런걸,36,2
그렇게많이,35,2
이 모든,35,2
이모든,35,2
그건안,35,2
이 직책에,35,2
이직책에,35,2
그사람의,34,2
이번달,34,2
그렇진않아.,34,2
"저기요,혹시",34,2
그럼그때,34,2
그래서어떻게,34,2
그거에대해,34,2
나도그런,33,2
이제좀,33,2
내 친구,33,2
내친구,33,2
너무많아.,33,2
내가너라면,33,2
그런데어떻게,32,2
그런데좀,32,2
그거좋네.,32,2
나 오늘,32,2
나오늘,32,2
이거좀,32,2
이제막,32,2
나 이제,32,2
나이제,32,2
그런얘기,32,2
그런 말,32,2
그게다예요.,32,2
그리고그,32,2
그런데오늘,32,2
우리 가족은,32,2
우리가족은,32,2
그런데혹시,32,2
그렇지않아.,31,2
그럼나중에,31,2
얼마나되나요?,31,2
너도같이,31,2
여기 온,31,2
여기온,31,2
내 친구가,31,2
내친구가,31,2
저 사람,31,2
저사람,31,2
그걸어떻게,31,2
당신은요?#Person2#:,31,2
그이후로,30,2
어떻게 해?,30,2
어떻게해?,30,2
나도동의해.,30,2
그럼그렇게,30,2
그런일은,30,2
우리 회사,30,2
우리회사,30,2
우리 회사에서,30,2
우리회사에서,30,2
그래서이,30,2
그런말을,30,2
왜?무슨,30,2
그래서내가,30,2
저사람은,30,2
내 새,30,2
얼마 전에,30,2
얼마전에,30,2
너 그,30,2
그렇게안,30,2
그렇게 생각하지,30,2
이거한번,30,2
그럼그,30,2
너희둘,30,2
그게바로,29,2
그렇지?#Person2#:,29,2
내일저녁에,29,2
그게내,29,2
내일오후,29,2
어느 날,29,2
어느날,29,2
이건어떠세요?,29,2
너무힘들어.,29,2
내가뭘,29,2
얼마 안,29,2
얼마안,29,2
너무걱정하지,29,2
우리랑같이,28,2
그 사람을,28,2
그사람을,28,2
나도같이,28,2
"저기요,여기",28,2
얘기할수,28,2
그런데정말,28,2
이해할수,28,2
나눌수,28,2
그때봬요.,28,2
그런데내가,28,2
나도좀,28,2
그냥집에,28,2
그런 게,28,2
우리 집에서,28,2
우리집에서,28,2
그런식으로,28,2
어떤 점이,28,2
어떤점이,28,2
내일오후에,28,2
그런일을,28,2
우리 모두,27,2
우리모두,27,2
그럼오늘,27,2
저도그래요.,27,2
거기서뭐,27,2
내가좀,27,2
내가원하는,27,2
나도잘,27,2
그럼다른,27,2
그냥좀,27,2
얼마나돼?,27,2
그런데저는,26,2
뭐해?#Person2#:,26,2
우리 엄마가,26,2
우리엄마가,26,2
나도알아.,26,2
그런데다른,26,2
그건정말,26,2
너무바빠서,26,2
그렇게 생각해요.,26,2
너희둘이,26,2
그렇게 말해줘서,26,2
이런 건,26,2
이 문제를,26,2
이문제를,26,2
그런데아직,26,2
그렇게할,26,2
저희회사는,26,2
너 요즘,26,2
너요즘,26,2
그런데한,26,2
그런데이제,26,2
이자리에,26,2
그런데난,26,2
그게정말,25,2
그건별로,25,2
그렇게많은,25,2
그렇죠?#Person2#:,25,2
이 두,25,2
나 요즘,25,2
나요즘,25,2
이 분야에서,25,2
그 얘기,25,2
그얘기,25,2
나 이,25,2
여기 서명해,25,2
여기서명해,25,2
그리고나서,25,2
그럴줄,25,2
어디로가야,25,2
뭐라고생각하세요?,25,2
그렇게하겠습니다.,25,2
저희 회사에,25,2
여기 정말,24,2
여기정말,24,2
왜 그,24,2
너무피곤해.,24,2
저녁식사,24,2
"저기요,제",24,2
그랬어.#Person1#:,24,2
저도만나서,24,2
그럼다음,24,2
그런데몇,24,2
그 전에,24,2
그전에,24,2
이거 정말,24,2
이렇게하자.,24,2
이제다,24,2
저녁에뭐,24,2
너 오늘,24,2
너오늘,24,2
그럴필요,24,2
내 말,24,2
그럼언제,24,2
그런데너무,24,2
그런데그게,24,2
저희회사가,24,2
그 사람들이,24,2
그사람들이,24,2
저희는모든,24,2
너는항상,24,2
그렇게오래,23,2
어떻게 가야,23,2
어떻게가야,23,2
이제이,23,2
그때뵙겠습니다.,23,2
"무엇을도와드릴까요,",23,2
그 사람들,23,2
그사람들,23,2
뭐 드릴까요?,23,2
뭐드릴까요?,23,2
그 친구,23,2
그친구,23,2
나는항상,23,2
그 정도는,23,2
그정도는,23,2
그게내가,23,2
그거 진짜,23,2
내가직접,23,2
그렇게 하자.,23,2
그렇지않아요.,23,2
얘기안,23,2
그냥내,23,2
나중에보자.,23,2
너무비싸.,23,2
이름이어떻게,22,2
그럼네가,22,2
그거좋다.,22,2
그렇게할게.,22,2
그렇게 생각,22,2
그럼정말,22,2
그리고여기,22,2
그렇지?#Person1#:,22,2
그런일,22,2
이거진짜,22,2
"어떻게 도와드릴까요,",22,2
"어떻게도와드릴까요,",22,2
너희집에,22,2
우리 학교,22,2
우리학교,22,2
그럴거야.,22,2
이틀동안,22,2
이 드레스,22,2
이드레스,22,2
그렇게해주시면,22,2
그날밤에,22,2
그렇구나.그럼,22,2
여기요.#Person1#:,22,2
그 애가,22,2
그애가,22,2
저는항상,22,2
그거꽤,22,2
그자리에,22,2
그사람도,22,2
그럼너는,22,2
저희회사를,22,2
이제가봐야,22,2
그 말,21,2
그렇진않아요.,21,2
너무빨리,21,2
여기 처음,21,2
여기처음,21,2
너무좋아.,21,2
그럼그냥,21,2
어디서살,21,2
이번토요일에,21,2
너무꽉,21,2
어떻게 알아?,21,2
어떻게알아?,21,2
그거 좀,21,2
이 문제에,21,2
이문제에,21,2
"그러고싶지만,",21,2
그렇게나쁘진,21,2
이번학기,21,2
그러지마.,21,2
그 후,21,2
얼마나걸려?,21,2
그런데우리,21,2
얘기들었어?,21,2
그리고다른,21,2
우리 가족이,21,2
우리가족이,21,2
이렇게빨리,21,2
이 근처에,21,2
이근처에,21,2
그 친구가,21,2
그친구가,21,2
그랬으면좋겠어.,21,2
뭐가제일,20,2
그게문제야.,20,2
그럼난,20,2
너무안,20,2
내일밤에,20,2
나 혼자,20,2
나혼자,20,2
너무지루해.,20,2
그런데네,20,2
어떤 것들이,20,2
어떤것들이,20,2
우리 부모님이,20,2
우리부모님이,20,2
너무비싸네요.,20,2
이자리,20,2
그런데지금은,20,2
그런사람들은,20,2
여기서얼마나,20,2
이 정도면,20,2
이정도면,20,2
그 일,20,2
그거내가,20,2
그게좀,20,2
저 좀,20,2
이 소포를,20,2
이소포를,20,2
이 집,20,2
그렇게자주,20,2
너희나라에서는,20,2
이제뭐,20,2
이렇게일찍,20,2
이번달에,20,2
그렇게해.,20,2
저희회사에서,20,2
이런 거,20,2
그런데이번,20,2
그게다야.,19,2
그 부분은,19,2
그부분은,19,2
어떻게 해요?,19,2
어떻게해요?,19,2
우리 회사가,19,2
우리회사가,19,2
그 후에는,19,2
그후에는,19,2
어떻게 해야 하나요?,53,3
이 양식을 작성해,50,3
왜 그렇게 생각해?,45,3
뭐 할 계획이야?,41,3
어떻게 해야 할까요?,27,3
어떻게 해야 해?,26,3
어떤 걸로 드릴까요?,26,3
어떻게 하실 건가요?,22,3
그렇게 생각 안,21,3
그거 좋은 생각이야.,20,3
어떻게 가야 하나요?,17,3
언제 받을 수,17,3
"여기 있습니다, 손님.",16,3
어떻게 알 수,15,3
"어떻게 도와드릴까요, 손님?",15,3
뭐 하는 걸,15,3
이 문제에 대해,14,3
여기 있는 동안,12,3
어느 쪽이 더,12,3
그렇게 할 수,12,3
내 말 좀,12,3
어디 있는지 알아?,11,3
그거 좋은 생각이다.,11,3
우리 회사에서 일하고,10,3
뭐 필요한 거,10,3
뭐 할 계획,9,3
우리 회사에 대해,9,3
뭐 하는 거,9,3
어떤 게 더,9,3
그 사람 정말,9,3
어떤 도움을 드릴까요?,9,3
여기 제 명함입니다.,9,3
거기 가본 적,9,3
이 모든 걸,9,3
여기 앉아도 될까요?,9,3
어떤 종류의 책을,8,3
왜 그렇게 생각하시죠?,8,3
뭐 할 수,8,3
이 신청서를 작성해,8,3
어떻게 그럴 수가,7,3
그거 내가 제일,7,3
그 부분에 대해,7,3
그렇게 말씀해 주시니,7,3
나 다음 주에,7,3
그 기간 동안,7,3
왜 이렇게 일찍,7,3
어떤 문제가 있으신가요?,7,3
여기 있습니다. 총,7,3
어떻게 할 수,7,3
언제 알 수,7,3
그 일에 대해,7,3
이 모든 게,7,3
어떤 문제인지 말씀해,7,3
우리 얘기 좀,7,3
그 다음엔 뭐,7,3
어디 가는 중이야?,7,3
그거 좋은 생각이네.,7,3
이 길로 쭉,7,3
그거 좋은 생각이네요.,6,3
언제 한 번,6,3
어떤 사이즈로 드릴까요?,6,3
우리 이번 주말에,6,3
그 사람 진짜,6,3
어떤 걸 알고,6,3
나 다음 주,6,3
너 안색이 안,6,3
왜 우리 회사에서,6,3
어떤 걸 추천하시나요?,6,3
저 사람 좀,6,3
그 외에 또,6,3
우리 회사에 오신,6,3
그 사람 알아?,6,3
왜 그렇게 생각하세요?,6,3
내 생일 파티에,6,3
어떤 게 제일,5,3
어떤 계절을 제일,5,3
어떤 종류의 일을,5,3
너 여가 시간에,5,3
이렇게 하면 될까요?,5,3
그런 말을 해?,5,3
내 친구도 거기서,5,3
그거 말고 다른,5,3
왜 이 직책에,5,3
어떤 종류의 계좌를,5,3
여기 계시는 동안,5,3
이 직업에 대해,5,3
여기 서명해 주시면,5,3
어떤 것들이 포함되나요?,5,3
이 길을 쭉,5,3
뭐 해야 해?,5,3
왜 우리 회사에,5,3
그 돈으로 뭐,5,3
왜 그렇게 말해?,5,3
그런 건 신경,5,3
여기 사는 게,5,3
그거 좋은 생각이에요.,5,3
그 사람이 내,5,3
너 정말 운이,5,3
어떤 종류로 드릴까요?,5,3
왜 그런 생각을,5,3
그런 거 안,5,3
그거 좋은 생각인,5,3
이 양식을 작성하시고,5,3
뭐 새로운 거,5,3
왜 그런지 알아?,5,3
어떻게 그럴 수,5,3
어디 가는 길이야?,5,3
왜 말 안,4,3
이 사진 좀,4,3
왜 그렇게 생각해요?,4,3
그 영화 정말,4,3
언제 입주할 수,4,3
어떤 소프트웨어를 사용할,4,3
어떻게 찾을 수,4,3
어느 쪽을 선호하시나요?,4,3
그런 일은 절대,4,3
이 큰 비닐봉지에,4,3
이 문제를 해결할,4,3
그 사람 좀,4,3
"뭐, 그럴 수도",4,3
이 환전 양식을,4,3
그 생각은 못,4,3
뭐 도와드릴 일,4,3
그렇게 많은 돈을,4,3
어떻게 가는지 좀,4,3
여기 있습니다. 모두,4,3
내 이마 좀,4,3
뭐 할 거,4,3
어떻게 할 생각이야?,4,3
저 사람들은 누구야?,4,3
뭐 어쩔 수,4,3
그 외에 다른,4,3
우리 부모님도 내가,4,3
저희 회사에 오신,4,3
이 시간대에는 교통이,4,3
이 회사에서 일하는,4,3
너 요리하는 거,4,3
뭐 할지 정했어?,4,3
저희 회사에 대해,4,3
그때 오실 수,4,3
"그거 좋은 생각인데,",4,3
여기 있습니다. 이제,4,3
그렇게 할게요. 정말,4,3
이렇게 하는 게,4,3
여기 있습니다. 정말,4,3
이 호텔에 수영장이,4,3
어떻게 익었는지 알,4,3
그 마음 이해해.,4,3
어느 게 더,4,3
여기 있어. 다른,4,3
이 두 개로,4,3
뭐 하는 거예요?,4,3
여기 오기 전에,4,3
우리 집 근처,4,3
어떻게 된 일인지,4,3
그런 거 절대,4,3
우리 은행에서 일하고,4,3
그거 좋을 것,4,3
왜 그 생각을,4,3
내 친구들 중,4,3
왜 그래? 너,4,3
나 며칠 전에,4,3
어느 방향으로 가야,4,3
언제 가실 예정이세요?,4,3
나 오늘 오후에,4,3
어떻게 할 것,4,3
어떻게 해야 해요?,4,3
이 집이 마음에,4,3
어떻게 하면 살을,4,3
어떻게 될 것,4,3
왜 그런 걸,4,3
나 가봐야 해.,4,3
어떤 스포츠를 제일,4,3
이 문제에 대한,4,3
왜 그렇게 화가,4,3
여기 양식이랑 제,4,3
여기 맡길 수,4,3
어떤 모델이 가장,3,3
여기 있어. 네가,3,3
"저희 호텔에는 싱글룸,",3,3
어떤 문제든 해결할,3,3
누가 제 머리를,3,3
그렇게 나쁜 건,3,3
우리 도시 사람들은,3,3
이거 어때요? 아주,3,3
너 여기 자주,3,3
그거 괜찮을 것,3,3
어떤 건 시속,3,3
여기 정치학 공부하러,3,3
우리 회사 안전,3,3
우리 남편이랑 나는,3,3
이 길 따라서,3,3
그 펀치에 뭐,3,3
그 모든 걸,3,3
어떤 춤을 제일,3,3
여기 제 명함이에요.,3,3
나 요즘 살이,3,3
저 사람 누구야?,3,3
왜 그런 말을,3,3
"뭐, 어쩔 수",3,3
어떻게 하면 될까요?,3,3
여기 있는 것들이,3,3
이 스타일 마음에,3,3
저희 대학 컴퓨터,3,3
여기 있는 건,3,3
그거 네 새,3,3
그렇게 해주시면 정말,3,3
어떻게 가죠? 이,3,3
이 원단으로 정장을,3,3
너 얼굴이 안,3,3
어떻게 알아볼 수,3,3
어떻게 해결할 수,3,3
어떤 종류의 아파트를,3,3
어떻게 생겼는지 설명해,3,3
너 혹시 역사,3,3
이 도시는 정말,3,3
내 새 드레스,3,3
이 책을 추천드릴게요.,3,3
너 하루 종일,3,3
여기 왔을 때,3,3
내 새 차야.,3,3
어떤 정보를 제공해야,3,3
왜 그렇게 기분이,3,3
그 부드러운 맛이,3,3
이 빨간 드레스,3,3
왜 그래야 해?,3,3
어디 갈 때마다,3,3
나 대신 좀,3,3
너 말고 다른,3,3
우리 집에서 오디션,3,3
내 생각엔 그,3,3
내 은행 명세서에,3,3
이 복도를 끝까지,3,3
내 아내 생일이야.,3,3
저희 가게에서 가장,3,3
너희 도시의 계절은,3,3
그 색상은 혼다,3,3
이 기간 동안,3,3
어떤 걸 가장,3,3
어떻게 할 계획이야?,3,3
그 양식을 2주마다,3,3
어떻게 준비해야 해?,3,3
어떤 걸 주문하시겠어요?,3,3
이 일에 대해,3,3
너 몇 개,3,3
왜 그 사람이,3,3
뭐 할지 생각해보자.,3,3
그렇게 주목받는 게,3,3
그 경험에 대해,3,3
어떤 점이 제일,3,3
그런 일이 자주,3,3
이 아파트 마음에,3,3
나 오늘 밤에,3,3
우리 이웃 중,3,3
어떤 걸 생각하고,3,3
너 항상 돈,3,3
내 사진 좀,3,3
그 차 사고가,3,3
뭐 가져가야 해?,3,3
그렇게 하는 게,3,3
이 차를 탈,3,3
저희 기념품 가게에,3,3
여기 두어도 될까요?,3,3
언제 만날 수,3,3
어느 정도 생각하고,3,3
어떻게 끝낼 수,3,3
"이 스카프, 이",3,3
우리 아내가 여행을,3,3
어떻게 그렇게 확신할,3,3
그렇게 확신할 수,3,3
너 때문에 정말,3,3
왜 저희 회사를,3,3
뭐 볼 수,3,3
뭐 그런 거,3,3
그렇게 될 것,3,3
여기 있습니다. 이,3,3
여기 보니까 다른,3,3
여기 두 가지,3,3
그 다음에 뭘,3,3
여기 몇 가지,3,3
내 발음이 아주,3,3
뭐 할 거예요?,3,3
"어디 보자. 노트북,",3,3
나 고등학교 때,3,3
그 다음에는 센트럴,3,3
그렇게 하면 직원들이,3,3
내 친구 중,3,3
이렇게 늦은 시간에,3,3
그거 좋은 생각이야!,3,3
이 문제가 얼마나,3,3
여기 내 명함이야.,3,3
어떤 종류의 방을,3,3
어떤 서비스가 포함되나요?,3,3
뭐 먹으러 갈래?,3,3
우리 너무 일찍,3,3
너 그런 스타일,3,3
그런 생각을 해?,3,3
내 차가 시동이,3,3
왜 우리 은행에서,3,3
우리 다음 주에,3,3
왜 그렇게 자주,3,3
내 인생 최고의,3,3
언제 신청할 수,3,3
언제 출발하실 건가요?,3,3
그 부분은 제가,3,3
거기 한 번도,3,3
이 서류를 작성해,3,3
저희 회사에 관심을,3,3
이 편지들 좀,3,3
너 온라인 쇼핑,3,3
어디 있는지 못,3,3
언제 뵐 수,3,3
그렇게 말하지 마.,3,3
그거 좋은 소식이네.,3,3
나 아무것도 안,3,3
어떻게 개선할 수,3,3
뭐 재미있는 거,3,3
그 말에 동의할,3,3
이 직책에 대해,3,3
저런 모양은 처음,3,3
이렇게 해보는 건,3,3
그 영화 진짜,3,3
너 그 영화,3,3
그렇게 말 안,3,3
그 다음엔 어디로,3,3
이 회사에 얼마나,3,3
여기 있는 사람들,3,3
우리 둘에 대한,3,3
우리 집에 저녁,3,3
이 마을로 이사,3,3
내 생각을 표현하는,3,3
너 펜팔 친구,3,3
여기 있는 이,3,3
이런 수업 방식이,3,3
"뭐, 어느 정도는",3,3
그렇게 하면 안,3,3
너 오늘 아침,3,3
내 생일이 곧,3,3
그 사람이 진짜로,3,3
이렇게 더울 줄은,3,3
이런 일이 자주,3,3
여기 머무시는 동안,3,3
어떻게 된 일이야?,3,3
이 양식을 작성하고,3,3
어떻게 도와드리면 될까요?,3,3
너희 집에 가도,3,3
뭐 마실 거,3,3
"어디 가세요, 손님?",3,3
왜 이렇게 안,3,3
거기 음식 정말,3,3
이 보고서 좀,3,3
왜 안 해?,3,3
어떻게 도와줄 수,3,3
그 사람에 대해,3,3
너 다음 주에,3,3
이 책 정말,3,3
여기 무슨 일이야?,3,3
어디 갔다 온,3,3
저 큰 나무,3,3
이 양식들을 작성해,3,3
내 좋은 친구,3,3
이 양식을 작성해서,3,3
어떻게 보호할 수,3,3
여기 열쇠와 영수증입니다.,3,3
그 점 진짜,3,3
그 일에서 가장,3,3
나 중국 음식,3,3
그거 좋은 소식이네!,3,3
저희 회사에서 일하고,3,3
어떻게 그런 속임수에,3,3
우리 반에서 제일,3,3
어떤 용도로 사용되나요?,3,3
어느 부서에서 일하고,3,3
어느 게이트로 가야,3,3
어떤 책을 제일,3,3
이 등록 양식,3,3
그렇게 잘 알아?,3,3
이 요리 정말,3,3
그렇게 많이 안,3,3
내 컴퓨터 안,3,3
내 일정 좀,3,3
왜 그런 거죠?,3,3
내 말 안,3,3
내 진짜 이름을,3,3
너 이미 검정,3,3
나 중국에 가게,3,3
너 모르는 거,3,3
내 안부 전해줘.,3,3
너 나 안,3,3
이렇게 더운 여름에,3,3
이 일을 정말,3,3
어느 날 내,3,3
너희 나라 사람들이,3,3
그렇게 말할 수도,3,3
그거 정말 인기,3,3
이렇게 늦은 줄,3,3
어떤 걸 더,3,3
이렇게 하자. 내가,3,3
이 중국 찻잔,3,3
그런 건 별로,2,3
저희 부서에 보상,2,3
우리 이제 안,2,3
누구 차례인지 알아.,2,3
왜 그만두시려는 건가요?,2,3
우리 회사를 선택한,2,3
뭐 도와드릴 거,2,3
여기 있습니다. 제,2,3
나 새 드레스,2,3
어떤 계획이 있으신가요?,2,3
우리 수입품에 대해,2,3
어떤 계좌를 개설하시겠어요?,2,3
저기 춤추는 사람들,2,3
어떤 경험이 있으신가요?,2,3
이 안에 뭐가,2,3
왜 그래? 어젯밤에,2,3
왜 잠이 안,2,3
저희 은행에 계좌가,2,3
우리 대만 사람들은,2,3
누가 타자를 더,2,3
그 공격에 대해,2,3
그 다음에 뭐,2,3
그런 건 내가,2,3
저 새 좀,2,3
그 회사는 업계의,2,3
그 회사에 대해,2,3
"뭐 마실래? 차,",2,3
우리 나가서 술,2,3
여기 있습니다. 질문,2,3
너 요리 진짜,2,3
그 영화 감독이,2,3
여기 있을 거라고,2,3
우리 회사가 내년에,2,3
이 상자 안에,2,3
언제 도착하면 될까요?,2,3
너 그거 알아?,2,3
여기 자주 오냐고,2,3
여기 제 학생증이에요.,2,3
어떤 젊은 남자가,2,3
그 젊은 남자는,2,3
이 책들을 대출하고,2,3
당신 차량 번호판이,2,3
언제 시작할 수,2,3
이 오래된 집이,2,3
그렇게 말할 수밖에,2,3
우리 삼촌이 며칠,2,3
우리 삼촌 오토바이를,2,3
우리 프로그램에 오신,2,3
이 초콜릿을 제공하면,2,3
이 집이 정말,2,3
그 사람은 널,2,3
여기 대학교에서 중국어,2,3
그거 좋은 생각,2,3
언제 만나는 게,2,3
이 장학금을 위해,2,3
이 분야의 전문가가,2,3
그 사람이 승진할,2,3
그 소리 뭐야?,2,3
나 여기 시골에서는,2,3
우리 가게 입구가,2,3
우리 가게 이름도,2,3
여기 있는 이유가,2,3
이 모든 것이,2,3
이렇게 많이 남아,2,3
이렇게 하자. 이번,2,3
누가 결혼했는지 알아?,2,3
저 남자 좀,2,3
언제 해야 하나요?,2,3
그 이후로 계속,2,3
언제 할 예정이야?,2,3
어느 날은 사람들이,2,3
우리 캠퍼스 영화관에서,2,3
그 케이크 진짜,2,3
어떻게 다듬어 드릴까요?,2,3
어느 대학을 졸업하셨나요?,2,3
이 재무제표에 대해,2,3
그렇게 심각해? 그냥,2,3
뭐 추천할 거,2,3
이 가격이 저희가,2,3
어떤 종류의 시계를,2,3
이 문제를 해결하기,2,3
우리 회사에서 일하는,2,3
나 같은 일반,2,3
그 사건을 조사했던,2,3
이 자리 비어,2,3
나 좀 긴장돼!,2,3
어디 보자... 여기,2,3
저 건물은 뭐예요?,2,3
이 버스 어디로,2,3
내 친구 중에,2,3
그 사람은 진짜,2,3
여기 다양한 종류의,2,3
저희 호텔 회원이신가요?,2,3
그렇게 말해. 게다가,2,3
이 색은 남편,2,3
이 드레스 마음에,2,3
이 초록색 드레스도,2,3
"어떻게 구워드릴까요? 레어,",2,3
언제 일어난 일인가요?,2,3
우리 사무실 사람들이야.,2,3
그거 살게. 청바지도,2,3
